Entidad federativa de residencia habitual de la persona fallecida,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
Entidad federativa de residencia habitual de la persona fallecida,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado
Total,592018,332027,259669,322,590693,332646,257468,579,602354,338377,263440,537,623599,347981,275231,387,633641,352037,281279,325,655688,363732,291637,319,685766,382745,302599,422,703047,394322,308281,444,722611,407736,314499,376,747784,422185,325126,473,1086743,639277,446709,757,1122249,646825,474689,735
Aguascalientes,5177,2721,2449,7,4934,2679,2253,2,5267,2834,2430,3,5522,2971,2547,4,5567,3100,2464,3,5636,3067,2568,1,5910,3198,2711,1,6158,3374,2783,1,6226,3433,2792,1,6768,3732,3033,3,9548,5578,3968,2,9712,5457,4255,0
Baja California,15400,9561,5822,17,14922,9176,5736,10,14756,9035,5708,13,15947,9678,6248,21,16198,9814,6354,30,17152,10456,6677,19,18253,11400,6841,12,19073,11873,7198,2,20501,12888,7604,9,20924,13086,7837,1,32662,20190,12458,14,28596,17937,10655,4
Baja California Sur,2434,1478,954,2,2602,1523,1079,0,2739,1643,1096,0,2757,1638,1119,0,2826,1707,1119,0,3175,1926,1249,0,3183,1985,1197,1,3826,2491,1333,2,3447,2039,1407,1,3556,2120,1435,1,4867,2924,1943,0,5925,3605,2320,0
Campeche,3820,2231,1587,2,3736,2147,1587,2,3964,2329,1629,6,4139,2369,1762,8,4249,2401,1848,0,4714,2650,2060,4,4932,2865,2052,15,4631,2599,2029,3,4835,2776,2058,1,5121,2925,2195,1,7549,4430,3118,1,7509,4280,3225,4
Coahuila de Zaragoza,14593,8159,6432,2,14640,8345,6290,5,15200,8707,6476,17,15716,8839,6869,8,16466,9206,7240,20,16167,8845,7300,22,16605,9059,7527,19,16660,9119,7538,3,17013,9224,7784,5,17794,9730,8059,5,28190,16034,12149,7,23814,13362,10447,5
Colima,3223,1888,1334,1,3514,2051,1461,2,3717,2190,1525,2,3790,2248,1541,1,3790,2230,1558,2,4408,2599,1805,4,4486,2785,1694,7,4593,2865,1728,0,4533,2793,1740,0,4566,2774,1792,0,6057,3694,2363,0,7121,4271,2849,1
Chiapas,21721,12088,9631,2,21199,11702,9483,14,22411,12340,10048,23,23121,12723,10394,4,24568,13357,11207,4,26519,14571,11943,5,26691,14652,12037,2,26986,14685,12298,3,27263,14761,12499,3,28317,15374,12935,8,38908,22400,16503,5,39865,22329,17532,4
Chihuahua,25809,16861,8898,50,24121,15168,8939,14,22187,13401,8763,23,22314,13219,9064,31,22163,12948,9186,29,22416,13030,9367,19,23400,13705,9657,38,23802,14013,9781,8,23836,14048,9781,7,24964,14842,10118,4,39246,23657,15579,10,31716,18592,13110,14
Ciudad de México,55106,28098,26998,10,54629,28306,26298,25,55995,28862,27119,14,57142,29692,27433,17,58870,30361,28492,17,59484,30596,28875,13,62230,32430,29792,8,61984,31856,30122,6,63213,32592,30615,6,63334,33024,30308,2,107292,61938,45353,1,100363,55694,44664,5
Durango,9221,5563,3644,14,9274,5534,3623,117,8884,5299,3571,14,9089,5286,3791,12,8950,5223,3725,2,8975,5093,3881,1,9570,5382,4180,8,9449,5359,4088,2,9311,5178,4130,3,10128,5610,4515,3,13945,8013,5929,3,13750,7696,6051,3
Guanajuato,27132,14706,12416,10,26550,14624,11922,4,27454,15143,12299,12,28657,15726,12925,6,29474,16326,13143,5,30170,16824,13342,4,32202,17936,14248,18,34794,19674,15120,0,35880,20550,15322,8,37347,21586,15754,7,51677,30678,20995,4,56302,32593,23707,2
Guerrero,16472,9587,6865,20,17841,10550,7269,22,18137,10748,7376,13,18469,10801,7619,49,17540,10074,7442,24,20645,11958,8656,31,20270,11821,8420,29,19910,11606,8291,13,18410,10585,7824,1,19448,11210,8235,3,25859,15375,10482,2,28177,16375,11798,4
Hidalgo,12990,7149,5839,2,13150,7233,5909,8,13246,7168,6065,13,13878,7520,6352,6,14142,7719,6415,8,14595,7861,6727,7,15391,8475,6910,6,15675,8526,7147,2,15945,8691,7253,1,16414,9137,7275,2,22655,13071,9583,1,25106,14557,10548,1
